"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","675 mb",-121.691,48.169,262.988
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","675 mb",-121.691,48.169,90.8055
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","675 mb",-121.691,48.169,-0.658682
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","675 mb",-121.691,48.169,3.93698
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","675 mb",-121.691,48.169,8.37086
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","700 mb",-121.691,48.169,2912.03
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","700 mb",-121.691,48.169,264.64
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","700 mb",-121.691,48.169,94.6539
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","700 mb",-121.691,48.169,-0.560892
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","700 mb",-121.691,48.169,3.3829
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","700 mb",-121.691,48.169,8.81231
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","725 mb",-121.691,48.169,2639.15
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","725 mb",-121.691,48.169,266.011
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","725 mb",-121.691,48.169,95.6557
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","725 mb",-121.691,48.169,-0.422053
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","725 mb",-121.691,48.169,2.42165
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","725 mb",-121.691,48.169,8.97905
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","750 mb",-121.691,48.169,2374.3
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","750 mb",-121.691,48.169,267.237
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","750 mb",-121.691,48.169,86.7507
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","750 mb",-121.691,48.169,-0.222894
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","750 mb",-121.691,48.169,1.10878
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","750 mb",-121.691,48.169,8.72829
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","775 mb",-121.691,48.169,2117.14
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","775 mb",-121.691,48.169,268.363
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","775 mb",-121.691,48.169,58.8408
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","775 mb",-121.691,48.169,0.039072
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","775 mb",-121.691,48.169,-0.547031
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","775 mb",-121.691,48.169,8.46923
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","800 mb",-121.691,48.169,1867.33
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","800 mb",-121.691,48.169,269.294
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","800 mb",-121.691,48.169,37.0169
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","800 mb",-121.691,48.169,0.393438
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","800 mb",-121.691,48.169,-2.50428
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","800 mb",-121.691,48.169,8.38948
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","825 mb",-121.691,48.169,1624.57
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","825 mb",-121.691,48.169,270.06
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","825 mb",-121.691,48.169,31.1295
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","825 mb",-121.691,48.169,0.875245
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","825 mb",-121.691,48.169,-4.92878
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","825 mb",-121.691,48.169,8.67495
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","850 mb",-121.691,48.169,1388.59
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","850 mb",-121.691,48.169,270.607
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","850 mb",-121.691,48.169,27.4226
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","850 mb",-121.691,48.169,1.45187
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","850 mb",-121.691,48.169,-7.95008
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","850 mb",-121.691,48.169,8.78184
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","875 mb",-121.691,48.169,1159.14
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","875 mb",-121.691,48.169,270.748
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","875 mb",-121.691,48.169,27.0426
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","875 mb",-121.691,48.169,2.05423
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","875 mb",-121.691,48.169,-10.498
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","875 mb",-121.691,48.169,8.56227
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","900 mb",-121.691,48.169,935.765
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","900 mb",-121.691,48.169,271.359
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","900 mb",-121.691,48.169,31.0825
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","900 mb",-121.691,48.169,1.83948
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","900 mb",-121.691,48.169,-10.1952
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","900 mb",-121.691,48.169,7.53527
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","925 mb",-121.691,48.169,717.796
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","925 mb",-121.691,48.169,272.197
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","925 mb",-121.691,48.169,33.0445
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","925 mb",-121.691,48.169,1.28381
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","925 mb",-121.691,48.169,-10.0565
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","925 mb",-121.691,48.169,6.39574
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","950 mb",-121.691,48.169,505.06
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","950 mb",-121.691,48.169,273.033
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","950 mb",-121.691,48.169,35.739
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","950 mb",-121.691,48.169,1.60913
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","950 mb",-121.691,48.169,-9.28566
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","950 mb",-121.691,48.169,5.04715
"2017-01-07 20:00:00","2017-01-07 20:00:00","HINDEX","surface",-121.691,48.169,5
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","975 mb",-121.691,48.169,297.015
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","975 mb",-121.691,48.169,274.364
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","975 mb",-121.691,48.169,37.9406
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","975 mb",-121.691,48.169,1.87654
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","975 mb",-121.691,48.169,-7.21943
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","975 mb",-121.691,48.169,3.59028
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","1000 mb",-121.691,48.169,275.716
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","1000 mb",-121.691,48.169,38.3674
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","1000 mb",-121.691,48.169,1.77887
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","1000 mb",-121.691,48.169,-5.76964
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","1000 mb",-121.691,48.169,2.92422
"2017-01-07 20:00:00","2017-01-07 20:00:00","MSLMA","mean sea level",-121.691,48.169,101008
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","1000 mb",-121.691,48.169,83.3916
"2017-01-07 20:00:00","2017-01-07 20:00:00","PRES","surface",-121.691,48.169,91628.2
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","surface",-121.691,48.169,786.675
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","surface",-121.691,48.169,271.042
"2017-01-07 20:00:00","2017-01-07 20:00:00","ASNOW","surface",-121.691,48.169,0
